id,language,value,description,year,latitude,longitude,genus,family,source,id_url,language_url,source_url
nog,Noghay,1,Words derived from Sinitic cha,NA,44,46,Turkic,Altaic,Baskakov and Abdulzalilov 1956,http://wals.info/valuesets/138A-nog,http://wals.info/languoid/lect/wals_code_nog,http://wals.info/refdb/record/Baskakov-and-Abdulzalilov-1956
nor,Norwegian,2,Words derived from Min Nan Chinese te,NA,61,8,Germanic,Indo-European,NA,http://wals.info/valuesets/138A-nor,http://wals.info/languoid/lect/wals_code_nor,NA
nun,Nung (in Vietnam),1,Words derived from Sinitic cha,2,21.9166666667,106.416666667,Kam-Tai,Tai-Kadai,Vy Thi Bé and Saul 1974,http://wals.info/valuesets/138A-nun,http://wals.info/languoid/lect/wals_code_nun,http://wals.info/refdb/record/Vy-Thi-Be-and-Saul-1974[2]
nyl,Nyelâyu,2,Words derived from Min Nan Chinese te,NA,-20.3333333333,164.333333333,Oceanic,Austronesian,Ozanne-Rivierre 1998,http://wals.info/valuesets/138A-nyl,http://wals.info/languoid/lect/wals_code_nyl,http://wals.info/refdb/record/Ozanne-Rivierre-1998
occ,Occitan,2,Words derived from Min Nan Chinese te,1359,44,2,Romance,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-occ,http://wals.info/languoid/lect/wals_code_occ,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1359]
ojm,Ojibwe (Minnesota),3,Others,NA,47.6666666667,-92.5,Algonquian,Algic,Nichols and Nyholm 1995,http://wals.info/valuesets/138A-ojm,http://wals.info/languoid/lect/wals_code_ojm,http://wals.info/refdb/record/Nichols-and-Nyholm-1995
orh,Oromo (Harar),1,Words derived from Sinitic cha,NA,9,42,Lowland East Cushitic,Afro-Asiatic,Owens 1985,http://wals.info/valuesets/138A-orh,http://wals.info/languoid/lect/wals_code_orh,http://wals.info/refdb/record/Owens-1985
oss,Ossetic,1,Words derived from Sinitic cha,1281,43,44,Iranian,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-oss,http://wals.info/languoid/lect/wals_code_oss,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1281]
owc,Oromo (West-Central),1,Words derived from Sinitic cha,1277,9,37,Lowland East Cushitic,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-owc,http://wals.info/languoid/lect/wals_code_owc,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1277]
oya,Oriya,1,Words derived from Sinitic cha,1272,21,85,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-oya,http://wals.info/languoid/lect/wals_code_oya,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1272]
pak,Pakanha,3,Others,NA,-14.5,142.416666667,Northern Pama-Nyungan,Pama-Nyungan,Hamilton 1998,http://wals.info/valuesets/138A-pak,http://wals.info/languoid/lect/wals_code_pak,http://wals.info/refdb/record/Hamilton-1998
pan,Panjabi,1,Words derived from Sinitic cha,1313,31,74,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-pan,http://wals.info/languoid/lect/wals_code_pan,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1313]
poh,Pohnpeian,2,Words derived from Min Nan Chinese te,NA,6.88333333333,158.25,Oceanic,Austronesian,Rehg and Sohl 1979,http://wals.info/valuesets/138A-poh,http://wals.info/languoid/lect/wals_code_poh,http://wals.info/refdb/record/Rehg-and-Sohl-1979
pol,Polish,3,Others,NA,52,20,Slavic,Indo-European,NA,http://wals.info/valuesets/138A-pol,http://wals.info/languoid/lect/wals_code_pol,NA
por,Portuguese,1,Words derived from Sinitic cha,1343,39,-8,Romance,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-por,http://wals.info/languoid/lect/wals_code_por,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1343]
pro,Provençal,2,Words derived from Min Nan Chinese te,1359,44,6,Romance,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-pro,http://wals.info/languoid/lect/wals_code_pro,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1359]
prs,Persian,1,Words derived from Sinitic cha,1321,32,54,Iranian,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-prs,http://wals.info/languoid/lect/wals_code_prs,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1321]
psh,Pashto,1,Words derived from Sinitic cha,1351,33,67,Iranian,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-psh,http://wals.info/languoid/lect/wals_code_psh,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1351]
psm,Passamaquoddy-Maliseet,3,Others,NA,45,-67,Algonquian,Algic,Francis and Leavitt 1998,http://wals.info/valuesets/138A-psm,http://wals.info/languoid/lect/wals_code_psm,http://wals.info/refdb/record/Francis-and-Leavitt-1998
qaf,Qafar,1,Words derived from Sinitic cha,488,12,42,Lowland East Cushitic,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-qaf,http://wals.info/languoid/lect/wals_code_qaf,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[488]
qay,Quechua (Ayacucho),2,Words derived from Min Nan Chinese te,203,-14,-74,Quechuan,Quechuan,Parker 1969,http://wals.info/valuesets/138A-qay,http://wals.info/languoid/lect/wals_code_qay,http://wals.info/refdb/record/Parker-1969[203]
rbg,Romani (Burgenland),2,Words derived from Min Nan Chinese te,NA,47.5,16.5,Indic,Indo-European,Matras et al. 2002,http://wals.info/valuesets/138A-rbg,http://wals.info/languoid/lect/wals_code_rbg,http://wals.info/refdb/record/Matras-et-al-2002
ren,Rendille,3,Others,NA,2,37.5,Lowland East Cushitic,Afro-Asiatic,Pillinger and Galboran 1999,http://wals.info/valuesets/138A-ren,http://wals.info/languoid/lect/wals_code_ren,http://wals.info/refdb/record/Pillinger-and-Galboran-1999
rka,Romani (Kalderash),3,Others,NA,45,21,Indic,Indo-European,Matras et al. 2002,http://wals.info/valuesets/138A-rka,http://wals.info/languoid/lect/wals_code_rka,http://wals.info/refdb/record/Matras-et-al-2002
rlo,Romani (Lovari),2,Words derived from Min Nan Chinese te,NA,47,21.5,Indic,Indo-European,Matras et al. 2002,http://wals.info/valuesets/138A-rlo,http://wals.info/languoid/lect/wals_code_rlo,http://wals.info/refdb/record/Matras-et-al-2002
rmc,Romansch,2,Words derived from Min Nan Chinese te,1372,46.6666666667,9.16666666667,Romance,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-rmc,http://wals.info/languoid/lect/wals_code_rmc,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1372]
rse,Romani (Sepecides),1,Words derived from Sinitic cha,NA,38.25,27,Indic,Indo-European,Matras et al. 2002,http://wals.info/valuesets/138A-rse,http://wals.info/languoid/lect/wals_code_rse,http://wals.info/refdb/record/Matras-et-al-2002
rus,Russian,1,Words derived from Sinitic cha,NA,56,38,Slavic,Indo-European,NA,http://wals.info/valuesets/138A-rus,http://wals.info/languoid/lect/wals_code_rus,NA
san,Sango,1,Words derived from Sinitic cha,1400,5,18,Ubangi,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-san,http://wals.info/languoid/lect/wals_code_san,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1400]
scr,Serbian-Croatian,1,Words derived from Sinitic cha,1419,44,19,Slavic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-scr,http://wals.info/languoid/lect/wals_code_scr,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1419]
sdh,Sindhi,1,Words derived from Sinitic cha,1447,26,69,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-sdh,http://wals.info/languoid/lect/wals_code_sdh,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1447]
ses,Sesotho,2,Words derived from Min Nan Chinese te,1427,-28,27,Bantoid,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ses,http://wals.info/languoid/lect/wals_code_ses,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1427]
slo,Slovene,1,Words derived from Sinitic cha,1470,46,15,Slavic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-slo,http://wals.info/languoid/lect/wals_code_slo,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1470]
snh,Sinhala,2,Words derived from Min Nan Chinese te,1454,7,80.5,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-snh,http://wals.info/languoid/lect/wals_code_snh,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1454]
snn,Soninke,3,Others,1492,15,-10.5,Western Mande,Mande,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-snn,http://wals.info/languoid/lect/wals_code_snn,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1492]
sno,Saami (Northern),2,Words derived from Min Nan Chinese te,1014,69,24,Saami,Uralic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-sno,http://wals.info/languoid/lect/wals_code_sno,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1014]
som,Somali,1,Words derived from Sinitic cha,1479,3,45,Lowland East Cushitic,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-som,http://wals.info/languoid/lect/wals_code_som,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1479]
spa,Spanish,2,Words derived from Min Nan Chinese te,NA,40,-4,Romance,Indo-European,NA,http://wals.info/valuesets/138A-spa,http://wals.info/languoid/lect/wals_code_spa,NA
sra,Sranan,2,Words derived from Min Nan Chinese te,1536,5.83333333333,-55.3333333333,Creoles and Pidgins,other,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-sra,http://wals.info/languoid/lect/wals_code_sra,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1536]
ssh,Shinassha,1,Words derived from Sinitic cha,NA,10.4166666667,36.1666666667,North Omotic,Afro-Asiatic,Lamberti 1993a,http://wals.info/valuesets/138A-ssh,http://wals.info/languoid/lect/wals_code_ssh,http://wals.info/refdb/record/Lamberti-1993a
sun,Sundanese,2,Words derived from Min Nan Chinese te,390,-7,107,Malayo-Sumbawan,Austronesian,Sugiarto 1993,http://wals.info/valuesets/138A-sun,http://wals.info/languoid/lect/wals_code_sun,http://wals.info/refdb/record/Sugiarto-1993[390]
svk,Slovak,1,Words derived from Sinitic cha,1461,49,20,Slavic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-svk,http://wals.info/languoid/lect/wals_code_svk,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1461]
swa,Swahili,1,Words derived from Sinitic cha,1507,-6.5,39,Bantoid,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-swa,http://wals.info/languoid/lect/wals_code_swa,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1507]
swe,Swedish,2,Words derived from Min Nan Chinese te,NA,60,15,Germanic,Indo-European,NA,http://wals.info/valuesets/138A-swe,http://wals.info/languoid/lect/wals_code_swe,NA
tag,Tagalog,1,Words derived from Sinitic cha,1522,15,121,Greater Central Philippine,Austronesian,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-tag,http://wals.info/languoid/lect/wals_code_tag,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1522]
tah,Tahitian,2,Words derived from Min Nan Chinese te,1530,-17.6666666667,-149.583333333,Oceanic,Austronesian,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-tah,http://wals.info/languoid/lect/wals_code_tah,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1530]
taj,Tajik,1,Words derived from Sinitic cha,1515,38.6666666667,70,Iranian,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-taj,http://wals.info/languoid/lect/wals_code_taj,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1515]
taq,Taiwanese,2,Words derived from Min Nan Chinese te,NA,25,121.5,Chinese,Sino-Tibetan,NA,http://wals.info/valuesets/138A-taq,http://wals.info/languoid/lect/wals_code_taq,NA
tel,Telugu,2,Words derived from Min Nan Chinese te,1582,16,79,South-Central Dravidian,Dravidian,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-tel,http://wals.info/languoid/lect/wals_code_tel,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1582]
tha,Thai,1,Words derived from Sinitic cha,1591,16,101,Kam-Tai,Tai-Kadai,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-tha,http://wals.info/languoid/lect/wals_code_tha,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1591]
tib,Tibetan (Standard Spoken),1,Words derived from Sinitic cha,1597,30,91,Bodic,Sino-Tibetan,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-tib,http://wals.info/languoid/lect/wals_code_tib,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1597]
tiw,Tiwi,3,Others,NA,-11.5,131,Tiwian,Tiwian,Osborne 1974,http://wals.info/valuesets/138A-tiw,http://wals.info/languoid/lect/wals_code_tiw,http://wals.info/refdb/record/Osborne-1974
tkm,Turkmen,1,Words derived from Sinitic cha,NA,40,58,Turkic,Altaic,Baskakov and Hamzaev 1956,http://wals.info/valuesets/138A-tkm,http://wals.info/languoid/lect/wals_code_tkm,http://wals.info/refdb/record/Baskakov-and-Hamzaev-1956
tsw,Tswana,2,Words derived from Min Nan Chinese te,NA,-24,26,Bantoid,Niger-Congo,NA,http://wals.info/valuesets/138A-tsw,http://wals.info/languoid/lect/wals_code_tsw,NA
tun,Tunica,3,Others,328,32.6666666667,-91,Tunica,Tunica,Haas 1953,http://wals.info/valuesets/138A-tun,http://wals.info/languoid/lect/wals_code_tun,http://wals.info/refdb/record/Haas-1953[328]
tur,Turkish,1,Words derived from Sinitic cha,1616,39,35,Turkic,Altaic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-tur,http://wals.info/languoid/lect/wals_code_tur,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1616]
tuv,Tuvan,1,Words derived from Sinitic cha,NA,52,95,Turkic,Altaic,Mongus 1980,http://wals.info/valuesets/138A-tuv,http://wals.info/languoid/lect/wals_code_tuv,http://wals.info/refdb/record/Mongus-1980
tvo,Tatar,1,Words derived from Sinitic cha,NA,56,49.5,Turkic,Altaic,Dmitriev 1955,http://wals.info/valuesets/138A-tvo,http://wals.info/languoid/lect/wals_code_tvo,http://wals.info/refdb/record/Dmitriev-1955
udm,Udmurt,1,Words derived from Sinitic cha,NA,57.5,52.5,Permic,Uralic,Vaxrushev 1983,http://wals.info/valuesets/138A-udm,http://wals.info/languoid/lect/wals_code_udm,http://wals.info/refdb/record/Vaxrushev-1983
ukr,Ukrainian,1,Words derived from Sinitic cha,1625,49,33,Slavic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ukr,http://wals.info/languoid/lect/wals_code_ukr,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1625]
uyg,Uyghur,1,Words derived from Sinitic cha,1287,40,80,Turkic,Altaic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-uyg,http://wals.info/languoid/lect/wals_code_uyg,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1287]
uzb,Uzbek,1,Words derived from Sinitic cha,1306,39,66,Turkic,Altaic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-uzb,http://wals.info/languoid/lect/wals_code_uzb,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1306]
vie,Vietnamese,1,Words derived from Sinitic cha,1633,10.5,106.5,Viet-Muong,Austro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-vie,http://wals.info/languoid/lect/wals_code_vie,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1633]
wam,Wambaya,3,Others,NA,-18.6666666667,135.75,Wambayan,Mirndi,Nordlinger 1998,http://wals.info/valuesets/138A-wam,http://wals.info/languoid/lect/wals_code_wam,http://wals.info/refdb/record/Nordlinger-1998
wel,Welsh,2,Words derived from Min Nan Chinese te,879,52,-3,Celtic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-wel,http://wals.info/languoid/lect/wals_code_wel,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[879]
wlf,Wolof,3,Others,1641,15.25,-16,Northern Atlantic,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-wlf,http://wals.info/languoid/lect/wals_code_wlf,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1641]
wlo,Wolio,2,Words derived from Min Nan Chinese te,167,-5.5,122.75,Celebic,Austronesian,Husen et al. 1985,http://wals.info/valuesets/138A-wlo,http://wals.info/languoid/lect/wals_code_wlo,http://wals.info/refdb/record/Husen-et-al-1985[167]
xho,Xhosa,2,Words derived from Min Nan Chinese te,NA,-32,27,Bantoid,Niger-Congo,NA,http://wals.info/valuesets/138A-xho,http://wals.info/languoid/lect/wals_code_xho,NA
xoo,!Xóõ,2,Words derived from Min Nan Chinese te,NA,-24,21.5,Tu,Tu,Traill 1994,http://wals.info/valuesets/138A-xoo,http://wals.info/languoid/lect/wals_code_xoo,http://wals.info/refdb/record/Traill-1994
ykt,Yakut,1,Words derived from Sinitic cha,1650,62,130,Turkic,Altaic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ykt,http://wals.info/languoid/lect/wals_code_ykt,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1650]
yms,Yemsa,1,Words derived from Sinitic cha,NA,7.83333333333,37.3333333333,North Omotic,Afro-Asiatic,Lamberti 1993b,http://wals.info/valuesets/138A-yms,http://wals.info/languoid/lect/wals_code_yms,http://wals.info/refdb/record/Lamberti-1993b
yor,Yoruba,2,Words derived from Min Nan Chinese te,1658,8,4.33333333333,Defoid,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-yor,http://wals.info/languoid/lect/wals_code_yor,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1658]
ypk,Yup'ik (Central),1,Words derived from Sinitic cha,NA,59.5,-160,Eskimo,Eskimo-Aleut,Jacobson 1984a,http://wals.info/valuesets/138A-ypk,http://wals.info/languoid/lect/wals_code_ypk,http://wals.info/refdb/record/Jacobson-1984a
zar,Zarma,3,Others,1664,13.8333333333,2.16666666667,Songhay,Songhay,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-zar,http://wals.info/languoid/lect/wals_code_zar,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1664]
zqc,Zoque (Copainalá),3,Others,NA,17,-93.25,Mixe-Zoque,Mixe-Zoque,Harrison et al. 1981,http://wals.info/valuesets/138A-zqc,http://wals.info/languoid/lect/wals_code_zqc,http://wals.info/refdb/record/Harrison-et-al-1981
zul,Zulu,3,Others,1670,-30,30,Bantoid,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-zul,http://wals.info/languoid/lect/wals_code_zul,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1670]
