id,language,value,description,year,latitude,longitude,genus,family,source,id_url,language_url,source_url
gml,Gamilaraay,2,Words derived from Min Nan Chinese te,NA,-29.8333333333,149.5,Southeastern Pama-Nyungan,Pama-Nyungan,Austin and Nathan 1998,http://wals.info/valuesets/138A-gml,http://wals.info/languoid/lect/wals_code_gml,http://wals.info/refdb/record/Austin-and-Nathan-1998
grk,Greek (Modern),1,Words derived from Sinitic cha,902,39,22,Greek,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-grk,http://wals.info/languoid/lect/wals_code_grk,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[902]
grt,Gorontalo,2,Words derived from Min Nan Chinese te,276,0.5,122,Greater Central Philippine,Austronesian,Padeta 1977,http://wals.info/valuesets/138A-grt,http://wals.info/languoid/lect/wals_code_grt,http://wals.info/refdb/record/Padeta-1977[276]
gua,Guaraní,2,Words derived from Min Nan Chinese te,910,-26,-56,Tupi-Guaraní,Tupian,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-gua,http://wals.info/languoid/lect/wals_code_gua,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[910]
guj,Gujarati,1,Words derived from Sinitic cha,917,23,72,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-guj,http://wals.info/languoid/lect/wals_code_guj,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[917]
hau,Hausa,1,Words derived from Sinitic cha,923,12,7,West Chadic,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-hau,http://wals.info/languoid/lect/wals_code_hau,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[923]
haw,Hawaiian,3,Others,NA,19.5833333333,-155.5,Oceanic,Austronesian,NA,http://wals.info/valuesets/138A-haw,http://wals.info/languoid/lect/wals_code_haw,NA
heb,Hebrew (Modern),2,Words derived from Min Nan Chinese te,931,31.5,34.8333333333,Semitic,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-heb,http://wals.info/languoid/lect/wals_code_heb,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[931]
hil,Hiligaynon,1,Words derived from Sinitic cha,NA,10.25,123,Greater Central Philippine,Austronesian,Ibelgaufts and Ibelgaufts 1999,http://wals.info/valuesets/138A-hil,http://wals.info/languoid/lect/wals_code_hil,http://wals.info/refdb/record/Ibelgaufts-and-Ibelgaufts-1999
hin,Hindi,1,Words derived from Sinitic cha,940,25,77,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-hin,http://wals.info/languoid/lect/wals_code_hin,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[940]
